Qui a écrit Germinal ?;Emile Zola;Charles Baudelaire;Honoré De Balzac;Victor Hugo;
Qui est le fondateur de la Croix Rouge ?;Henri Dunant;Jean Laborde;Karl Marx;Andrew Johnson;
Qui fut président des Etats-Unis d'Amérique de 2008 à 2012 ?;Barack Obama;Bill Clinton;Roger Federer;George Bush;
En quelle année on eut lieu les premiers Jeux olympiques de l'ère moderne ?;1896;1888;1892;1902;
Quelle est la capitale du Bangladesh ?;Dacca;Chittagong;Calcutta;Rangoun;
Quel site internet est le plus traduit au monde ?;le site des témoins de jéhovah;wikipedia;twitter;marmiton;
Qui a écrit les histoires de Sherlock Holmes ?;Arthur Conan Doyle;Charles Dickens;Rudyard Kipling;Edgar Rice Burroughs;
Quel artiste a peint "Le Baiser" ?;Gustave Klimt;Claude Monet;Auguste Renoir;Édouard Manet;
Dans quelles villes furent construits les premiers gratte-ciels ?;Chicago et New York;Londres et Moscou;Los Angeles et Dallas;Zurich et Bâle;
Quel modèle d'Iphone est sorti en 2012 ?;5;4s;3GS;12;
Qui a peint 'Le Cri'?;Edvard Munch;Vincent Van Gogh;Pablo Picasso;Claude Monet;
En quelle année la magnifique Université de Neuchâtel a-t-elle été créée ?;1838;1921;1872;1898;
Lors du Zevent 2021, pour quelle association les dons ont-ils été récoltés ?;Action contre la faim;L'institut Pasteur;La Croix-rouge;Médecins sans-frontière;Zevent.JPG
Selon sens critique, de quel.le artiste musical.e est le meilleur album de la décennie 2010 ?;Kanye West;Daft Punk;Arctic Monkeys;Frank Ocean;
Combien d'hommes ont marché sur la Lune ?;12;2;6;18;
Quel épisode de Kamelott parle de musique ?;La quinte juste;Sous un oranger;L'accord parfait;La tierce picarde;
Comment s'appelle se tableau ?;La jeune fille à la perle;La Joconde;L'espoir;Maélie;perle.jpg
Quel roman n'est pas d'Albert Camus ?;La condition humaine;L'Etranger;Caligula;La Peste;
