Le brassage des lacs est essentiel pour oxygéner les fonds. Ce phénomène a lieu (habituellement) combien de fois par an ?,2,4,1,182
Quels sont les réservoirs d'eau les plus importants (hormis les océans et mers)?,glaces et neiges,eaux souterraines,eaux de surface,biomasse
Lequels de ces temps ne fait pas parti du calcul du temps de concentration ?,évaporation,humectation,ruissellement,acheminement
A quelle forme de bassin versant correspond l'hydrogramme le plus plat (donc un temps de concentration élévé) ?,long et étroit,circulaire,carré,triangulaire
Comment appelle-t-on le graphe de la répartition de l'altitude au sein d'un bassin versant ?,courbe hypsométrique,relief hydraulique,courbe piézométrique,répartition isopièzique
Comment appelle-t-on le concept décrivant la durée moyenne entre deux événements du même type (exemple : séisme de magnitude 7 à Bern),temps de retour,période,temps de concentration,aucune idée
Commment peut-on évaluer des données moyenne de précipitations?,les trois,moyenne arithmétique,polygones de Thiessen,analyse des isohyètes
Lequels des ces régimes hydrauliques n'existe pas ?,glacio-lacustre,nivo-pluvial,pluvial,nivo-glaciaire
On aimerait connaître le débit qu'on cours d'eau dépasse environ 3 mois par ans. Comment décrire ce débit classé ?,Q90,Q270,Q300,Q30
L'évapotranspiration de référence est calculée sur quelle surface de référence ?,le vert gazon,sol de forêt,prairie,champ de blé
